Proteína,Dist. SVD ao centro,Dist. Random ao centro
IL12B_PROTEINA,0.02972,0.051612
IL23_A_PROTEINA,0.046367,0.066684
IL23_R_PROTEINA,0.023785,0.040272
TNFAIP3_PROTEINA,0.021556,0.036695
TNIP1_PROTEINA,0.027313,0.040468
TRAF3IP2_PROTEINA,0.026087,0.041396
hla_c_proteina,0.029511,0.047774
